channel_name,channel_handle,date,youtube_views,youtube_rsi,live_stream_count,fear_greed_value,fear_greed_classification,btc_price_close,btc_price_high,btc_price_low,btc_volume
Micha.Stocks,@Micha.Stocks,2024-12-18,33149,,1,81,Extreme Greed,100147.26,106502.15,99946.11,7727995790
,,2024-12-19,,,,75,Greed,97381.10,102767.84,95555.55,8011759335
Micha.Stocks,@Micha.Stocks,2024-12-20,25716,,1,74,Greed,97769.49,98131.87,92144.03,8141536427
,,2024-12-21,,,,73,Greed,97223.39,99529.45,96379.46,2907358272
,,2024-12-22,,,,73,Greed,95098.66,97387.01,94186.04,2842280144
Micha.Stocks,@Micha.Stocks,2024-12-23,14759,,1,70,Greed,94771.64,96428.13,92378.53,5422281369
Micha.Stocks,@Micha.Stocks,2024-12-24,23162,,1,73,Greed,98606.93,99439.54,93437.90,3967574826
,,2024-12-25,,,,73,Greed,99356.06,99484.75,97568.85,2147049999
,,2024-12-26,,,,79,Extreme Greed,95680.19,99888.75,95098.08,3704007593
,,2024-12-27,,,,74,Greed,94170.09,97351.17,93270.34,4479654695
,,2024-12-28,,,,72,Greed,95140.15,95542.25,94008.53,1339743546
,,2024-12-29,,,,73,Greed,93564.85,95175.67,92850.44,1684134736
Micha.Stocks,@Micha.Stocks,2024-12-30,22660,,1,65,Greed,92646.21,94910.24,91310.52,5287498463
,,2024-12-31,,,,64,Greed,93391.98,96139.70,91894.97,3659994868
,,2025-01-01,,,,66,Greed,94392.51,94953.50,92728.81,1798161468
,,2025-01-02,,,,70,Greed,96900.96,97766.59,94197.85,3693985155
,,2025-01-03,,,,74,Greed,98135.80,98963.23,96021.74,2773288956
,,2025-01-04,,,,73,Greed,98213.69,98757.16,97522.47,972181437
,,2025-01-05,,,,72,Greed,98346.97,98818.40,97248.40,967941540
Micha.Stocks,@Micha.Stocks,2025-01-06,14771,,1,76,Extreme Greed,102282.20,102530.34,97908.09,4654078183
Micha.Stocks,@Micha.Stocks,2025-01-07,16595,,1,78,Extreme Greed,96942.47,102747.54,96112.95,5348079997
Micha.Stocks,@Micha.Stocks,2025-01-08,21828,,1,70,Greed,95051.06,97251.53,92488.45,5480363249
,,2025-01-09,,,,69,Greed,92548.12,95345.44,91197.56,4696698492
Micha.Stocks,@Micha.Stocks,2025-01-10,18331,,1,50,Neutral,94710.29,95845.36,92206.53,5217667771
,,2025-01-11,,,,69,Greed,94569.95,94985.54,93826.56,905586720
,,2025-01-12,,,,62,Greed,94505.67,95388.08,93675.70,1027482280
,,2025-01-13,,,,61,Greed,94517.66,95894.16,89153.40,6274787648
,,2025-01-14,,,,63,Greed,96526.87,97357.87,94324.09,4263471095
Micha.Stocks,@Micha.Stocks,2025-01-15,27544,,1,70,Greed,100510.84,100719.11,96466.75,4261664752
Micha.Stocks,@Micha.Stocks,2025-01-16,12735,,1,75,Greed,99979.43,100867.35,97275.38,4314930790
,,2025-01-17,,,,75,Greed,104111.13,105926.06,99941.15,5613810480
,,2025-01-18,,,,77,Extreme Greed,104431.52,104927.11,102234.37,2633222971
